City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,portsmouth,50.8,-1.09,55.99,87,12,4.63,GB,1595376734
1,tautira,-17.73,-149.15,84.2,66,40,5.82,PF,1595376550
2,wukari,7.85,9.78,73.63,91,87,8.68,NG,1595376734
3,namatanai,-3.67,152.43,84.33,70,27,6.13,PG,1595376734
4,saint-leu,-21.15,55.28,64.4,68,90,5.82,RE,1595376734
5,ushuaia,-54.8,-68.3,32.0,86,28,5.82,AR,1595376734
6,tyret pervaya,53.67,102.31,60.35,84,100,6.85,RU,1595376735
7,necochea,-38.55,-58.74,51.01,92,100,17.0,AR,1595376735
8,cape town,-33.93,18.42,48.0,100,0,2.24,ZA,1595376685
9,esperance,-33.87,121.9,44.6,81,0,18.34,AU,1595376508
10,provideniya,64.38,-173.3,50.0,76,40,11.18,RU,1595376547
11,lata,40.16,-8.33,69.01,69,23,3.76,PT,1595376574
12,puerto ayora,-0.74,-90.35,69.01,92,99,5.01,EC,1595376667
13,tasiilaq,65.61,-37.64,46.4,75,97,4.7,GL,1595376736
14,atuona,-9.8,-139.03,79.57,74,2,14.99,PF,1595376736
15,lafia,8.48,8.52,73.08,92,17,6.76,NG,1595376736
16,zhigansk,66.77,123.37,55.69,91,100,22.64,RU,1595376736
17,port hawkesbury,45.62,-61.35,71.6,73,1,2.24,CA,1595376736
18,chuy,-33.7,-53.46,65.19,87,100,6.6,UY,1595376680
19,lorengau,-2.02,147.27,84.51,68,48,8.39,PG,1595376737
20,punta arenas,-53.15,-70.92,23.0,92,9,2.24,CL,1595376673
21,tuktoyaktuk,69.45,-133.04,42.8,81,90,5.82,CA,1595376737
22,aklavik,68.22,-135.01,44.6,87,90,8.05,CA,1595376737
23,nikolskoye,59.7,30.79,62.01,87,40,6.71,RU,1595376737
24,praia da vitoria,38.73,-27.07,71.6,64,20,4.23,PT,1595376737
25,santiago,-33.46,-70.65,46.4,93,90,4.7,CL,1595376651
26,geraldton,-28.77,114.6,50.0,87,0,10.29,AU,1595376737
27,giffoni valle piana,40.72,14.94,75.99,59,0,3.04,IT,1595376738
28,butaritari,3.07,172.79,78.04,82,100,5.73,KI,1595376721
29,port alfred,-33.59,26.89,66.29,27,0,10.13,ZA,1595376516
30,preobrazheniye,42.9,133.91,73.02,65,91,5.48,RU,1595376738
31,sorong,-0.88,131.25,80.26,79,22,7.09,ID,1595376738
32,lebu,-37.62,-73.65,49.8,84,85,10.45,CL,1595376710
33,kodiak,57.79,-152.41,75.2,41,1,8.05,US,1595376627
34,luanda,-8.84,13.23,69.8,83,4,4.7,AO,1595376739
35,hobart,-42.88,147.33,48.99,61,75,10.29,AU,1595376679
36,hilo,19.73,-155.09,84.2,58,1,11.41,US,1595376739
37,sola,-13.88,167.55,77.04,71,61,19.13,VU,1595376739
38,saint-joseph,-21.37,55.62,64.4,68,90,5.82,RE,1595376739
39,karratha,-20.74,116.85,68.67,65,0,7.83,AU,1595376605
40,sobolevo,54.43,31.9,56.01,95,4,11.74,RU,1595376740
41,chumikan,54.72,135.31,51.55,92,100,11.1,RU,1595376740
42,saskylakh,71.92,114.08,46.18,90,100,18.21,RU,1595376555
43,jamestown,42.1,-79.24,77.0,73,1,3.36,US,1595376741
44,luderitz,-26.65,15.16,64.4,42,0,3.36,NA,1595376614
45,vaini,-21.2,-175.2,77.0,57,20,5.82,TO,1595376554
46,bluff,-46.6,168.33,39.0,83,99,3.0,NZ,1595376512
47,oyama,36.3,139.8,86.0,83,75,4.7,JP,1595376741
48,hambantota,6.12,81.12,79.56,85,100,9.73,LK,1595376672
49,ancud,-41.87,-73.82,46.4,75,100,5.82,CL,1595376561
50,ostrovnoy,68.05,39.51,60.12,66,0,8.3,RU,1595376663
51,georgetown,5.41,100.34,77.0,94,20,3.36,MY,1595376695
52,torbay,47.67,-52.73,70.0,77,20,23.04,CA,1595376552
53,sao filipe,14.9,-24.5,77.04,80,62,3.47,CV,1595376742
54,khatanga,71.97,102.5,59.18,52,29,12.91,RU,1595376742
55,caravelas,-17.71,-39.25,68.61,78,0,3.58,BR,1595376743
56,buraydah,26.33,43.98,91.4,21,0,4.7,SA,1595376743
57,castro,-24.79,-50.01,57.29,86,6,3.69,BR,1595376743
58,debre sina,9.85,39.77,55.09,91,100,2.01,ET,1595376743
59,new norfolk,-42.78,147.06,48.99,79,100,1.99,AU,1595376743
60,altay,47.87,88.12,64.83,64,89,0.34,CN,1595376743
61,madras,13.09,80.28,82.4,88,40,4.7,IN,1595376736
62,busselton,-33.65,115.33,54.0,75,3,14.05,AU,1595376543
63,sembakung,3.82,117.25,76.78,93,61,2.48,ID,1595376744
64,yinchuan,38.47,106.27,73.38,59,50,7.31,CN,1595376744
65,kapaa,22.08,-159.32,84.2,66,20,14.99,US,1595376702
66,xining,36.62,101.77,58.68,59,4,3.06,CN,1595376744
67,dikson,73.51,80.55,40.15,94,100,10.09,RU,1595376744
68,lavrentiya,65.58,-171.0,48.45,66,43,7.29,RU,1595376744
69,pevek,69.7,170.31,50.07,58,100,2.37,RU,1595376745
70,qaanaaq,77.48,-69.36,46.89,63,54,5.1,GL,1595376745
71,soyo,-6.13,12.37,70.48,89,0,7.99,AO,1595376568
72,kavieng,-2.57,150.8,84.29,69,4,6.91,PG,1595376745
73,coihaique,-45.58,-72.07,35.6,74,75,4.5,CL,1595376718
74,port hardy,50.7,-127.42,64.4,82,75,9.17,CA,1595376745
75,rikitea,-23.12,-134.97,66.43,60,58,17.36,PF,1595376651
76,moose factory,51.26,-80.61,66.2,68,20,9.17,CA,1595376746
77,mataura,-46.19,168.86,39.0,83,95,3.0,NZ,1595376746
78,port blair,11.67,92.75,81.21,79,99,6.82,IN,1595376746
79,alice springs,-23.7,133.88,46.4,81,0,3.36,AU,1595376746
80,port elizabeth,-33.92,25.57,62.6,45,0,11.41,ZA,1595376518
81,providencia,28.72,-111.58,93.99,57,24,8.01,MX,1595376746
82,thompson,55.74,-97.86,80.6,36,75,14.99,CA,1595376747
83,koboko,3.41,30.96,63.05,96,92,3.83,UG,1595376747
84,husavik,66.04,-17.34,51.8,71,90,5.82,IS,1595376747
85,sisophon,13.59,102.97,78.93,84,91,3.22,KH,1595376747
86,botwood,49.15,-55.35,71.01,63,0,7.58,CA,1595376747
87,saint andrews,34.05,-81.13,95.0,58,75,10.29,US,1595376747
88,san rafael,-34.62,-68.33,46.31,83,87,11.95,AR,1595376748
89,hermanus,-34.42,19.23,48.0,96,0,3.38,ZA,1595376748
90,ducheng,23.24,111.53,82.13,76,27,2.75,CN,1595376748
91,sept-iles,50.2,-66.38,71.6,43,75,12.75,CA,1595376560
92,yelnya,54.58,33.18,56.35,97,31,9.82,RU,1595376748
93,airai,-8.93,125.41,63.16,64,67,5.1,TL,1595376748
94,burnie,-41.07,145.92,52.0,55,53,8.99,AU,1595376748
95,abu samrah,35.3,37.18,71.35,55,0,12.21,SY,1595376748
96,bhainsdehi,21.65,77.63,72.34,91,100,2.19,IN,1595376749
97,norman wells,65.28,-126.83,57.2,76,90,13.87,CA,1595376546
98,boyolangu,-8.12,111.89,75.52,87,83,4.32,ID,1595376749
99,longyearbyen,78.22,15.64,48.2,81,75,3.36,SJ,1595376540
100,mizdah,31.45,12.98,68.54,78,0,9.75,LY,1595376749
101,albany,42.6,-73.97,80.01,51,8,5.17,US,1595376749
102,bengkulu,-3.8,102.27,77.0,86,91,6.46,ID,1595376749
103,sidi ali,36.1,0.42,76.62,69,42,5.44,DZ,1595376750
104,fairmont,39.49,-80.14,75.99,83,82,1.57,US,1595376617
105,vung tau,10.35,107.08,83.21,73,48,3.51,VN,1595376750
106,mount isa,-20.73,139.5,62.6,25,0,9.17,AU,1595376750
107,vangaindrano,-23.35,47.6,64.81,72,99,3.8,MG,1595376750
108,hithadhoo,-0.6,73.08,84.52,67,87,3.27,MV,1595376524
109,constantine,36.37,6.61,75.2,38,20,4.7,DZ,1595376750
110,sisimiut,66.94,-53.67,56.23,72,100,5.46,GL,1595376750
111,klaksvik,62.23,-6.59,44.6,100,3,2.66,FO,1595376571
112,henties bay,-22.12,14.28,61.0,66,0,1.01,NA,1595376709
113,novorudnyy,51.5,58.19,68.0,82,40,11.18,RU,1595376751
114,teya,60.38,92.63,52.65,92,100,0.89,RU,1595376575
115,paignton,50.44,-3.57,57.99,77,77,1.99,GB,1595376751
116,mogadishu,2.04,45.34,77.07,81,92,21.32,SO,1595376751
117,bethel,41.37,-73.41,82.4,51,1,3.36,US,1595376752
118,sechelt,49.47,-123.77,79.0,76,85,1.99,CA,1595376752
119,san quintin,30.48,-115.95,70.48,71,8,16.98,MX,1595376519
120,meliki,40.52,22.4,73.0,59,0,5.1,GR,1595376752
121,bilibino,68.05,166.44,74.23,31,95,4.5,RU,1595376596
122,hailar,49.2,119.7,69.87,67,5,9.4,CN,1595376752
123,pisco,-13.7,-76.22,63.0,82,40,5.82,PE,1595376751
124,khanpur,28.65,70.66,88.97,61,57,5.99,PK,1595376753
125,coquimbo,-29.95,-71.34,55.4,87,90,6.93,CL,1595376753
126,bamora,24.06,78.09,81.19,75,66,8.23,IN,1595376753
127,tiksi,71.69,128.87,49.5,88,98,5.12,RU,1595376515
128,hobyo,5.35,48.53,76.96,77,86,25.28,SO,1595376754
129,springbok,-29.66,17.89,51.71,41,0,2.53,ZA,1595376754
130,kuandian,40.73,124.78,75.11,75,87,2.57,CN,1595376754
131,montepuez,-13.13,39.0,60.37,83,10,8.41,MZ,1595376754
132,ribeira grande,38.52,-28.7,69.39,75,22,3.69,PT,1595376541
133,pangody,65.85,74.49,47.01,73,0,13.13,RU,1595376754
134,fairbanks,64.84,-147.72,55.4,82,90,14.99,US,1595376748
135,saint-philippe,-21.36,55.77,64.4,68,90,5.82,RE,1595376755
136,namibe,-15.2,12.15,67.05,61,7,2.35,AO,1595376664
137,yagodnoye,62.55,149.67,72.95,40,0,4.61,RU,1595376491
138,balkanabat,39.51,54.37,94.84,12,0,18.1,TM,1595376755
139,soddy-daisy,35.24,-85.19,84.0,69,100,3.0,US,1595376755
140,kibre mengist,5.88,38.98,59.16,81,99,2.37,ET,1595376755
141,madimba,-10.4,40.33,69.48,81,3,11.45,TZ,1595376755
142,arlit,18.74,7.39,93.69,28,7,5.75,NE,1595376755
143,sabang,5.89,95.32,82.29,71,100,6.6,ID,1595376736
144,newport,51.59,-3.0,57.99,82,28,3.87,GB,1595376756
145,gravelbourg,49.88,-106.55,78.66,33,64,4.65,CA,1595376756
146,port lincoln,-34.73,135.87,53.17,65,35,6.91,AU,1595376756
147,kloulklubed,7.04,134.26,75.2,94,90,3.36,PW,1595376756
148,bonavista,48.65,-53.11,64.44,76,68,8.25,CA,1595376756
149,port victoria,0.09,33.98,70.03,69,79,7.25,KE,1595376567
150,east london,-33.02,27.91,65.57,26,0,5.35,ZA,1595376654
151,usinsk,65.99,57.53,58.14,70,0,7.56,RU,1595376757
152,aberystwyth,52.42,-4.08,44.01,95,35,3.51,GB,1595376757
153,hofn,64.25,-15.21,52.18,78,100,12.46,IS,1595376757
154,shenjiamen,29.96,122.3,79.38,91,75,18.5,CN,1595376757
155,faanui,-16.48,-151.75,76.87,82,54,22.97,PF,1595376757
156,puerto rico,-26.8,-55.02,65.71,78,100,3.22,AR,1595376757
157,kavaratti,10.57,72.64,80.67,83,100,17.38,IN,1595376733
158,egvekinot,66.32,-179.17,53.22,52,79,3.58,RU,1595376758
159,carnarvon,-24.87,113.63,55.4,100,0,9.17,AU,1595376495
160,srednekolymsk,67.45,153.68,82.15,30,13,14.94,RU,1595376758
161,ouegoa,-20.35,164.43,73.31,53,1,10.0,NC,1595376758
162,rock sound,24.9,-76.2,82.36,78,99,14.09,BS,1595376758
163,imeni babushkina,59.76,43.13,60.24,96,79,8.39,RU,1595376758
164,saint marys,30.73,-81.55,86.0,83,1,8.05,US,1595376759
165,puerto escondido,15.85,-97.07,84.2,70,40,3.36,MX,1595376759
166,mount gambier,-37.83,140.77,46.4,100,90,3.76,AU,1595376759
167,manta,-0.95,-80.73,78.8,74,40,10.29,EC,1595376567
168,lima,-12.04,-77.03,62.6,77,90,8.05,PE,1595376607
169,barrow,71.29,-156.79,35.6,74,90,8.05,US,1595376708
170,souillac,-20.52,57.52,68.0,77,75,12.75,MU,1595376660
171,kiruna,67.86,20.23,48.2,93,99,12.75,SE,1595376760
172,karlskoga,59.33,14.52,55.0,87,55,5.82,SE,1595376760
173,tarakan,3.3,117.63,78.37,87,65,7.02,ID,1595376760
174,hami,42.8,93.45,75.51,39,14,5.08,CN,1595376760
175,lebanon,36.21,-86.29,87.01,78,1,5.61,US,1595376531
176,esmeraldas,-19.76,-44.31,69.8,64,0,6.93,BR,1595376760
177,nicoya,10.15,-85.45,71.6,100,75,5.82,CR,1595376760
178,olafsvik,64.89,-23.71,49.06,74,100,1.03,IS,1595376537
179,tamandare,-8.76,-35.1,74.75,79,25,10.69,BR,1595376761
180,maceio,-9.67,-35.74,71.6,83,0,1.12,BR,1595376623
181,acapulco,16.86,-99.89,84.2,79,75,5.82,MX,1595376761
182,pimentel,-6.84,-79.93,66.2,72,95,19.46,PE,1595376761
183,northam,51.03,-4.22,52.0,94,38,1.99,GB,1595376544
184,severo-kurilsk,50.68,156.12,52.63,80,23,9.71,RU,1595376761
185,miquelon,47.1,-56.38,60.4,84,0,19.08,PM,1595376762
186,bredasdorp,-34.53,20.04,48.2,93,0,4.7,ZA,1595376675
187,darnah,32.77,22.64,75.45,81,0,19.3,LY,1595376762
188,kaitangata,-46.28,169.85,45.0,70,51,8.01,NZ,1595376762
189,lubango,-14.92,13.49,53.8,42,18,3.94,AO,1595376762
190,malindi,-3.22,40.12,76.28,77,44,17.87,KE,1595376666
191,whitehorse,60.72,-135.05,64.99,52,75,6.93,CA,1595376552
192,arraial do cabo,-22.97,-42.03,69.8,94,20,6.93,BR,1595376535
193,talakan,50.32,130.37,73.76,52,7,7.61,RU,1595376725
194,saldanha,-33.01,17.94,48.2,87,0,1.12,ZA,1595376763
195,juneau,58.3,-134.42,64.4,63,75,6.93,US,1595376492
196,cidreira,-30.18,-50.21,65.64,71,95,7.45,BR,1595376661
197,angoche,-16.23,39.91,67.59,77,5,8.86,MZ,1595376763
198,durres,41.32,19.44,66.2,82,0,2.24,AL,1595376764
199,labe,11.32,-12.28,65.95,99,100,3.65,GN,1595376764
200,kruisfontein,-34.0,24.73,55.78,50,0,6.82,ZA,1595376764
201,la union,-5.4,-80.75,67.84,69,61,15.95,PE,1595376764
202,sarangani,5.4,125.46,84.11,71,95,6.89,PH,1595376764
203,nathdwara,24.93,73.82,77.0,80,62,5.99,IN,1595376765
204,narsaq,60.92,-46.05,60.8,38,58,5.82,GL,1595376588
205,berwick,41.05,-76.23,80.01,78,90,0.85,US,1595376765
206,rundu,-17.93,19.77,49.91,45,0,5.61,NA,1595376765
207,gutersloh,51.9,8.38,53.01,85,1,1.45,DE,1595376765
208,chancay,-11.57,-77.27,62.6,77,90,8.05,PE,1595376765
209,batemans bay,-35.72,150.18,57.99,63,25,1.34,AU,1595376765
210,yantzaza,-3.83,-78.76,67.39,83,82,0.49,EC,1595376766
211,alofi,-19.06,-169.92,80.6,78,50,4.7,NU,1595376526
212,vila velha,-20.33,-40.29,75.0,83,20,9.17,BR,1595376495
213,bosanska dubica,45.18,16.81,64.4,93,0,2.24,BA,1595376766
214,mahebourg,-20.41,57.7,68.0,77,75,12.75,MU,1595376766
215,jawa,31.85,35.94,71.6,24,0,7.31,JO,1595376766
216,hervey bay,-25.3,152.85,64.0,67,100,13.87,AU,1595376766
217,lianran,24.92,102.48,66.0,100,90,15.66,CN,1595376767
218,amarante do maranhao,-5.57,-46.74,75.78,47,26,2.59,BR,1595376767
219,pustoshka,56.34,29.37,53.83,92,24,6.89,RU,1595376767
220,mosjoen,65.84,13.19,50.0,87,89,2.24,NO,1595376471
221,voh,-20.97,164.7,75.76,43,3,5.91,NC,1595376767
222,fallon,39.47,-118.78,100.4,8,40,5.82,US,1595376683
223,fortuna,40.6,-124.16,59.0,87,90,14.99,US,1595376767
224,narasannapeta,18.42,84.05,81.43,88,100,7.85,IN,1595376768
225,lagoa,39.05,-27.98,68.95,79,0,4.36,PT,1595376637
226,mahon,39.89,4.27,73.4,83,0,8.05,ES,1595376768
227,tazovskiy,67.47,78.7,44.26,81,39,17.18,RU,1595376666
228,cherskiy,68.75,161.3,78.4,30,65,10.65,RU,1595376527
229,hamada,34.88,132.08,73.4,100,75,5.82,JP,1595376768
230,lang suan,9.95,99.08,75.2,94,20,1.61,TH,1595376768
231,haysville,37.56,-97.35,89.6,45,1,5.82,US,1595376769
232,tura,25.52,90.22,74.16,99,99,4.83,IN,1595376769
233,solnechnyy,50.72,136.63,66.27,80,86,5.1,RU,1595376769
234,mwinilunga,-11.74,24.43,49.95,62,0,4.83,ZM,1595376769
235,nanortalik,60.14,-45.24,51.75,66,96,13.04,GL,1595376769
236,paamiut,61.99,-49.67,47.34,87,33,14.9,GL,1595376755
237,suez,29.97,32.53,73.65,81,0,8.7,EG,1595376769
238,san cristobal,7.77,-72.22,86.0,58,75,6.93,VE,1595376738
239,kabompo,-13.59,24.2,53.4,65,0,5.57,ZM,1595376770
240,acajutiba,-11.66,-38.02,67.19,97,29,5.7,BR,1595376770
241,chunoyar,57.45,97.32,59.04,88,43,0.87,RU,1595376770
242,lasa,46.62,10.7,59.0,82,40,4.7,IT,1595376770
243,chokurdakh,70.63,147.92,80.02,36,100,12.28,RU,1595376505
244,avarua,-21.21,-159.78,78.8,83,70,17.22,CK,1595376558
245,molokovo,58.17,36.76,57.02,98,100,7.09,RU,1595376771
246,hasaki,35.73,140.83,78.8,88,75,6.93,JP,1595376588
247,chistoye,56.54,43.0,59.0,100,20,6.71,RU,1595376771
248,novikovo,51.15,37.89,61.66,88,93,6.73,RU,1595376771
249,ahipara,-35.17,173.17,53.44,67,78,22.86,NZ,1595376771
250,rocha,-34.48,-54.33,65.71,91,100,4.59,UY,1595376771
251,mar del plata,-38.0,-57.56,51.8,93,90,19.46,AR,1595376546
252,kenai,60.55,-151.26,69.8,55,1,13.87,US,1595376772
253,los llanos de aridane,28.66,-17.92,73.4,69,90,16.11,ES,1595376568
254,tarija,-21.54,-64.73,63.46,69,100,2.42,BO,1595376772
255,codrington,-38.27,141.97,51.33,80,99,9.66,AU,1595376772
256,high level,58.52,-117.14,64.4,82,75,4.7,CA,1595376772
257,qaqortoq,60.72,-46.03,57.2,54,79,4.7,GL,1595376772
258,urumqi,43.8,87.6,75.2,44,6,6.71,CN,1595376772
259,aquiraz,-3.9,-38.39,78.8,78,20,11.41,BR,1595376773
260,katsuura,35.13,140.3,80.6,88,75,10.29,JP,1595376773
261,nadym,65.53,72.52,48.04,72,0,10.04,RU,1595376773
262,baikunthpur,23.25,82.55,74.25,90,100,2.95,IN,1595376773
263,batagay-alyta,67.8,130.41,72.73,46,18,16.93,RU,1595376773
264,de aar,-30.65,24.01,44.28,52,0,2.37,ZA,1595376773
265,liuhe,42.24,125.72,76.68,75,87,2.53,CN,1595376774
266,requena,39.49,-1.1,66.99,64,32,4.7,ES,1595376774
267,moron,-34.65,-58.62,57.0,100,90,2.24,AR,1595376774
268,bukama,-9.2,25.85,63.61,47,0,2.8,CD,1595376774
269,grande prairie,55.17,-118.8,73.4,60,75,4.7,CA,1595376625
270,ballina,-28.87,153.57,57.2,76,75,10.29,AU,1595376519
271,brae,60.4,-1.35,44.6,93,2,2.24,GB,1595376775
272,tilichiki,60.47,166.1,56.86,61,0,6.04,RU,1595376775
273,monteagudo,-19.82,-63.98,63.73,72,94,0.74,BO,1595376775
274,anadyr,64.75,177.48,59.0,58,28,6.71,RU,1595376695
275,viedma,-40.81,-63.0,46.0,87,100,5.99,AR,1595376762
276,kamaishi,39.27,141.88,75.2,83,75,1.12,JP,1595376776
277,marovoay,-16.1,46.63,68.0,72,0,3.36,MG,1595376776
278,road town,18.42,-64.62,84.2,74,40,11.41,VG,1595376556
279,severnyy,50.68,36.55,64.4,77,77,8.95,RU,1595376776
280,gotsu,35.0,132.22,73.4,100,75,5.82,JP,1595376776
281,zemio,5.03,25.14,68.2,94,100,1.9,CF,1595376777
282,verkhnevilyuysk,63.45,120.32,67.46,74,4,7.81,RU,1595376777
283,talara,-4.58,-81.27,62.8,88,71,13.58,PE,1595376777
284,mata,40.68,-7.46,61.0,80,47,1.01,PT,1595376777
285,fuyang,32.9,115.82,73.11,96,100,12.12,CN,1595376777
286,port augusta,-32.5,137.77,46.99,100,0,3.83,AU,1595376589
287,baruun-urt,46.68,113.28,73.0,51,0,8.61,MN,1595376778
288,tungor,53.38,142.96,55.62,81,100,14.12,RU,1595376778
289,shepsi,44.04,39.15,71.04,74,0,6.64,RU,1595376778
290,vizinga,61.07,50.1,54.88,96,38,5.97,RU,1595376778
291,natal,-5.79,-35.21,73.4,78,40,9.17,BR,1595376778
292,dillon,34.42,-79.37,87.8,62,1,5.82,US,1595376778
293,ponta do sol,32.67,-17.1,69.8,73,20,12.75,PT,1595376778
294,peniche,39.36,-9.38,66.0,91,0,3.0,PT,1595376646
295,te anau,-45.42,167.72,40.35,76,46,4.29,NZ,1595376621
296,vale,41.62,42.87,69.8,94,90,4.7,GE,1595376779
297,ashqelon,31.67,34.57,75.2,83,20,8.05,IL,1595376779
298,camacha,33.08,-16.33,68.0,77,75,12.75,PT,1595376779
299,houlton,46.13,-67.84,78.8,39,1,5.82,US,1595376779
300,hualmay,-11.1,-77.61,60.06,85,63,7.74,PE,1595376573
301,valdivia,-39.81,-73.25,46.4,100,100,4.7,CL,1595376760
302,muncar,-8.43,114.33,77.07,86,52,6.82,ID,1595376780
303,lusambo,-4.97,23.45,69.48,42,0,0.69,CD,1595376780
304,indramayu,-6.33,108.32,78.76,77,38,9.06,ID,1595376780
305,zambezi,-13.54,23.1,52.09,59,0,5.37,ZM,1595376780
306,santa cruz,-17.8,-63.17,78.8,69,20,9.17,BO,1595376611
307,asau,46.43,26.4,59.0,95,0,3.6,RO,1595376772
308,morant bay,17.88,-76.41,86.0,70,20,17.22,JM,1595376781
